,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi
0,2015/9/24,5882.7159999999985,5969.069,6027.321999999999,5857.76,9988,12053725200.0,-0.05050268308173362,0.017637256329253243,0.0981042437271205,57.28256934,57.29469603
1,2015/9/25,5967.269,5667.615,5986.236999999999,5594.451,11773,13831953880.0,0.03399666349954969,0.10413498446877567,0.15365281516122747,53.09438612,46.97357991
2,2015/9/28,5705.093000000003,5860.295,5894.2119999999995,5645.903,10606,12458306000.0,-0.015057774395316343,0.12336870413520135,0.1903255723474672,52.84346954,53.05456241
3,2015/9/29,5827.425,5772.052,5827.425,5648.847,9770,11416674520.0,0.002287228181589533,0.15395668646089825,0.20433876895079944,51.2133683,50.09471375
4,2015/9/30,5794.058000000001,5785.254,5853.689,5716.401999999999,8197,9659227680.0,0.0499706668021836,0.15249373666221053,0.2428655682187853,51.58994394,50.55895793
5,2015/10/8,6040.379,6074.347,6227.656,6040.379,9351,11626215440.0,0.0302032465382699,0.07907236777879173,0.19686774561940565,56.57342966,59.77675714
6,2015/10/9,6106.68,6257.812,6302.078,6093.899,8910,11157260640.0,0.05200859341891384,0.044847624057737775,0.1967865126021684,62.76859879,64.50188059
7,2015/10/12,6309.092,6583.272,6830.771,6306.57,63348,84385340040.0,0.01176102096343587,0.05960364390230277,0.0667086214879168,65.63733099,71.24356022
8,2015/10/20,6561.276999999999,6660.698,6872.147,6348.675,91984,123000000000.0,0.001016560126281019,0.043660289056792416,0.0576914011114151,68.60623553,72.63449855
9,2015/10/30,6683.9209999999985,6667.469,6765.397,6534.155,11905,16035987800.0,-0.01691931376058894,0.07841416285550043,0.05936300566226861,71.16864569,72.76410695
10,2015/11/2,6555.358,6554.66,6741.823,6473.018,11884,15890381640.0,-0.002471524076000864,0.10916355691980968,0.09919828030744544,71.83247158,66.83139214
11,2015/11/3,6596.321,6538.46,6636.969,6500.531999999997,10800,14354794040.0,0.06686574514488129,0.14541726950994582,0.11561682720395935,72.17434195,65.96251715
12,2015/11/4,6578.63,6975.659000000002,7004.663000000001,6559.9,13240,18080629680.0,-0.003462468563902157,0.006705316300581829,0.035724223331444364,76.46916628,75.59554074
13,2015/11/5,6952.525,6951.5059999999985,7007.416,6871.714,11725,16445495360.0,0.034350398316566395,0.013444137140930505,0.04229831636482817,79.70656174,74.28884871
14,2015/11/6,6941.33,7190.293000000002,7221.812,6941.33,10830,15498494760.0,0.011111786404253487,-0.017665900402111585,-0.008351120044760412,82.75483555,78.43478794
15,2015/11/9,7175.143,7270.19,7358.644,7107.074000000001,10720,15566647320.0,0.030133325263851526,-0.008984496966379077,-0.02228387428664173,84.73133408,79.66884646
16,2015/11/10,7247.101,7489.265,7619.43,7179.246,84021,125000000000.0,-0.06233348666391152,-0.02601710581746008,-0.0004538496100752666,85.90223802,82.71926298
17,2015/11/20,7460.785,7022.433000000001,7668.774,6866.22,60976,90750563360.0,0.003208289776491957,0.02882562211700695,0.04381957079547776,81.41173485,60.83725929
18,2015/11/30,7018.366,7044.9630000000025,7124.323,6848.1330000000025,11857,16699720360.0,0.0025985942012754053,0.028471405740526944,0.030922802575400244,76.87740533,61.39177434
19,2015/12/1,7057.243,7063.27,7190.522,6975.1619999999975,10909,15546037160.0,0.02004751340384831,0.009482293611882266,-0.037163523410544984,73.08649193,61.88511117
20,2015/12/2,7063.554,7204.871,7212.630999999998,6875.179,13031,18438903240.0,0.012428397399481554,-0.013419948809631748,-0.08148057057510118,71.10611142,65.6990319
21,2015/12/3,7166.079000000002,7294.416,7322.453,7144.0019999999995,10580,15390646480.0,-0.00953565028372385,0.02624610386904172,-0.07746034775093706,70.70388898,67.97856213
22,2015/12/4,7226.545999999998,7224.859,7297.495,7135.645,9352,13610985640.0,0.0028628932412383683,0.014573848430813647,-0.1295333237645192,69.25348278,64.24738007
23,2015/12/7,7248.476,7245.543000000002,7340.041999999998,7160.0,9605,14039203200.0,-0.015912817024203774,0.0023835342637535282,-0.1305748927306071,68.01662953,64.89203363
24,2015/12/8,7218.644,7130.246,7218.644,7069.5109999999995,9728,14002062800.0,-0.003094423390160775,-0.04620766240042767,-0.1832333695078684,62.41004986,58.29995071
25,2015/12/9,7127.791,7108.182,7175.829000000002,7049.936,9455,13565148240.0,0.05313369860254003,-0.06898641593588903,-0.16529838431261334,57.28979514,57.05221505
26,2015/12/10,7088.434,7485.866,7519.706,7001.75,76015,111000000000.0,-0.020800933385663026,-0.10105417329137326,-0.234042527611368,60.69342418,69.58686928
27,2015/12/21,7453.092,7330.153,7602.99,7201.342,60339,90189700120.0,-0.009186711382422729,-0.14203714438157025,-0.2004019561392512,60.36735543,61.29007124
28,2015/12/30,7348.205,7262.813,7462.857,7253.968000000003,17399,25860189600.0,-0.0636170861069946,-0.1326422695999471,-0.2299548398120673,58.72800137,57.92971452
29,2016/1/4,7264.721,6800.774,7273.41,6800.774,6683,9488583480.0,-0.02690282017899728,-0.1436640888228312,-0.17564530154950014,48.94000114,40.70363369
30,2016/1/5,6628.951,6617.814,6793.411,6571.0769999999975,11778,15753695360.0,0.016859645798446513,-0.10344851033891267,-0.11874555555656295,41.53819443,35.94237396
31,2016/1/6,6653.614000000001,6729.388000000001,6783.079000000002,6618.5109999999995,10850,14659358320.0,-0.06544265243733917,-0.14793811859265674,-0.14808880094296856,37.17207978,40.7011407
32,2016/1/7,6667.825,6288.999,6667.825,6288.999,2509,3301419920.0,0.0016629037466852244,-0.06802720114918134,-0.11245175901602143,30.97673315,30.60523498
33,2016/1/8,6442.6709999999985,6299.4569999999985,6487.694,6061.6759999999995,13008,16540913600.0,-0.07551603257233125,-0.1121942732524405,-0.09935046782603636,28.38513787,31.06207267
34,2016/1/11,6177.972,5823.7469999999985,6267.851,5815.069,14507,17812453280.0,0.018796146192477103,-0.03734657429314829,-0.0235353630574952,23.73517626,23.2346711
35,2016/1/12,5902.831,5933.2109999999975,6035.026999999999,5836.477,14991,17971162440.0,-0.03360001860712518,-0.017062093358891042,-0.10982973637714877,20.88061128,27.93565894
36,2016/1/13,5955.718000000003,5733.855,6042.769,5685.644,15281,18220527080.0,0.022205130754091255,-0.00017684437433456614,-0.09937014451882713,17.81958695,24.82136127
37,2016/1/14,5543.1759999999995,5861.1759999999995,5900.613,5517.913000000001,18386,21081901920.0,-0.04580684831849429,-0.047667225826352855,-0.13941127173113374,17.59346333,30.3964985
38,2016/1/15,5782.409000000002,5592.694,5836.569,5540.161,18882,21682994280.0,0.002423876578979573,0.014466909864905831,-0.06772854012753064,15.25896715,25.84900058
39,2016/1/18,5468.374,5606.25,5716.78,5447.48,14821,16735856600.0,0.040263634336677824,0.0143470234113714,-0.07192526198439238,14.02879438,26.47382771
40,2016/1/19,5617.2119999999995,5831.978,5868.94,5602.808000000001,14029,16214344760.0,-0.016998863850309555,-0.09437792803745143,-0.07520227271090536,15.20027079,36.49776244
41,2016/1/20,5781.898,5732.8409999999985,5865.366,5700.016,13256,15478951240.0,-0.0263483672406054,-0.09921084502430808,-0.054832324845569484,16.20051824,34.19444075
42,2016/1/21,5741.986,5581.79,5885.893,5558.5019999999995,15706,18191707800.0,0.01644866610890057,-0.09633612156673756,-0.004919747966154107,15.17645888,30.85652223
43,2016/1/22,5674.793000000002,5673.603,5730.073,5515.4519999999975,15119,17175161240.0,0.00230541333258616,-0.08102329331114629,-0.03445130017027975,15.73528778,35.18307233
44,2016/1/25,5694.525,5686.683000000001,5798.001,5640.035,12620,14526305520.0,-0.07123924438904028,-0.08505204176142764,-0.033256997093033175,16.9453326,35.82665064
45,2016/1/26,5630.249,5281.568,5639.797,5255.118,15040,16680649920.0,-0.022244719749892467,0.021174014989487858,0.08275118298202344,14.55640128,26.61775686
46,2016/1/27,5317.026999999999,5164.081,5330.398,5006.643,17504,18289973840.0,-0.02324111492441738,0.04926626828665158,0.11655665354590687,14.66281275,24.55825255
47,2016/1/28,5130.383,5044.062,5224.431,5022.779,14559,15147309240.0,0.033672663024364224,0.10116192069011062,0.13506039378580195,12.82091618,22.55283393
48,2016/1/29,5052.4090000000015,5213.9090000000015,5302.238,5042.775,16449,17245397400.0,-0.0020886440480645764,0.050678099675310735,0.09691653613440517,14.54824587,31.46313265
49,2016/2/1,5218.522,5203.019,5270.882,5096.986,14065,14814217800.0,0.03659048717677168,0.05660982594912674,0.12021309166851005,15.84595316,31.20417927
50,2016/2/2,5190.56,5393.4,5418.719,5190.56,14631,15835945320.0,0.004653094522935525,0.06030036711536325,0.06409407794712063,20.53615232,40.78874765
51,2016/2/3,5342.75,5418.496,5443.9209999999985,5278.97,14202,15397598880.0,0.025068395362846174,0.06413089536284615,0.06435678830435615,24.92036009,41.98732703
52,2016/2/4,5427.839,5554.329000000002,5577.14,5427.839,15091,16873188360.0,-0.013717048449956836,0.030784276552577088,-0.05587191540148236,31.14865568,48.35321728
53,2016/2/5,5536.995,5478.14,5565.214,5474.3319999999985,10993,12324869960.0,0.0035451813936846024,0.04400818525996058,-0.03254389263509159,34.89469767,45.22191678
54,2016/2/15,5387.107,5497.561,5516.108,5315.7069999999985,13383,14722040440.0,0.040211104524351816,0.06019560310472227,-0.09701229326968816,39.41806169,46.22064392
55,2016/2/16,5525.975,5718.624,5745.82,5517.717,14819,16989399240.0,0.008282586860055967,0.00357795861382043,-0.10793208296261478,47.84330487,56.40005985
56,2016/2/17,5696.121,5765.989000000001,5784.565,5663.321999999999,14788,17140320760.0,-0.00705412375916792,0.0002122792811432973,-0.05387245795994418,56.13810405,58.30250116
57,2016/2/18,5777.941999999999,5725.315,5828.61,5722.429,16369,19108010560.0,-0.0010640462577166034,-0.08406821284069071,-0.04576866076364357,61.35395234,55.94423626
58,2016/2/19,5692.031,5719.223000000001,5773.87,5684.775,16112,18680270280.0,0.019105217614350568,-0.07332517021980102,-0.07189210842102174,65.53255456,55.56552645
59,2016/2/22,5770.521,5828.49,5880.1330000000025,5765.472,13132,15300213840.0,-0.015339307436402869,-0.1482819735471795,-0.06575665395325371,70.24923312,60.90559989
60,2016/2/23,5759.3830000000025,5739.085,5781.16,5655.772,12526,14503495360.0,0.004901129709701218,-0.1111124857011179,-0.040244394359031,72.20595896,54.83904183
61,2016/2/24,5720.448,5767.2130000000025,5810.231,5611.038000000001,15359,17736056520.0,-0.09072232983245117,-0.05407325860862097,-0.07215408898544245,74.10907395,56.3769512
62,2016/2/25,5749.875,5243.998000000001,5769.0869999999995,5184.916,17979,20084427760.0,0.01065255936405757,0.04181485195074428,-0.002301488291948321,63.17395392,32.91843295
63,2016/2/26,5311.7519999999995,5299.86,5373.021,5216.6359999999995,15850,17079117680.0,-0.06332808791175619,0.0015464559441192626,-0.010589713690550279,55.40055206,36.11151719
64,2016/2/29,5286.736999999999,4964.23,5286.736999999999,4925.36,18527,18992174480.0,0.02763187845849211,0.09689277088289634,0.09798014999305042,46.84564751,27.32121222
65,2016/3/1,4959.795,5101.401,5160.382000000001,4955.163,18858,19332803840.0,0.0693848611391263,0.07972672605035377,0.0592249070402425,42.11103879,34.63674462
66,2016/3/2,5131.581,5455.361,5491.472,5122.263,19306,20751800680.0,0.001450683098698649,-0.01911440874398593,-0.022537280300973763,44.34431259,49.41714028
67,2016/3/3,5452.963000000002,5463.275,5594.059,5450.391,18009,20169965760.0,-0.028411346673927283,-0.0423456626291006,0.010420489541529632,46.34352211,49.70321982
68,2016/3/4,5468.151,5308.056,5528.4609999999975,5241.862,20395,22361327840.0,0.025842229245509184,-0.012117430562149251,0.07854400933223014,45.30000293,44.18883022
69,2016/3/7,5399.915,5445.228,5563.859,5371.821999999999,18343,20395071440.0,0.01154974594268606,0.0009913267176324184,0.07972632183629404,46.82489948,49.7333735
70,2016/3/8,5371.395,5508.119000000002,5519.355,5208.804,20414,22276784280.0,-0.02850955108268368,-0.01898797030347395,0.05579872185041745,49.19348172,52.18355082
71,2016/3/9,5410.201999999998,5351.085,5449.064,5311.515,16973,18576481480.0,-0.0222676335733781,-0.003489572675448191,0.09171354968198037,49.01315687,45.89894295
72,2016/3/10,5377.18,5231.929,5431.0790000000015,5209.022,18136,19684439800.0,0.0022567202268990627,0.05509937157021815,0.09500014239489883,46.61856656,41.62013524
73,2016/3/11,5205.32,5243.736,5304.767,5157.9,17359,18527745400.0,0.039454694134105975,0.09177349889468116,0.10451746617297301,45.13788554,42.22057505
74,2016/3/14,5353.121,5450.626,5556.995,5336.2469999999985,21334,23704255720.0,-0.008640291959125475,0.07865702031289609,0.05197182855693998,50.70664445,51.960532
75,2016/3/15,5433.834,5403.531,5479.563,5375.103,17507,19357433760.0,-0.013161578974933351,0.0762342253611574,0.046843258602569264,54.17348019,49.81027405
76,2016/3/16,5457.847,5332.411999999998,5479.144,5258.911999999998,22231,24263264720.0,0.03521727128361436,0.0955365039310542,0.10221040684778301,54.98573555,46.53843361
77,2016/3/17,5354.235,5520.205,5552.5,5312.925,25707,28392369080.0,0.037094093425878175,0.0378170738224397,0.06512457417795177,59.87914637,55.26707691
78,2016/3/18,5509.815,5724.972,5758.844,5509.815,23864,27281575000.0,0.02696676944446192,0.0116727208447484,0.027208692025044008,65.62654443,62.73126837
79,2016/3/21,5798.118,5879.356,5909.39,5788.973000000001,17344,20255776000.0,-0.01086700652248301,-0.0247392741654018,0.02726097892354213,70.68935479,67.35196428
80,2016/3/22,5787.361999999999,5815.465,5882.053000000001,5768.437,14642,17205279400.0,0.004537384370811227,-0.0273090801853335,0.04358963556654536,73.4913785,63.67634251
81,2016/3/23,5809.06,5841.852,5869.645,5762.349,14820,17451941680.0,-0.019324180071662072,0.006091903731898675,0.02624253404571005,76.4116134,64.57459455
82,2016/3/24,5785.234,5728.9630000000025,5849.715,5717.99,19234,22515297120.0,0.01096795353714102,0.026312440837896748,0.037725850210587865,76.341472,57.70634094
83,2016/3/25,5742.472,5791.7980000000025,5830.1640000000025,5731.183000000001,15273,17871482720.0,-0.009995687004277588,0.015356716515320338,0.04731656732503427,77.67658562,60.34729001
84,2016/3/28,5830.6619999999975,5733.905,5944.227,5717.038000000001,17776,21045358360.0,-0.013473365882413487,0.05331933472912456,0.05516903401782917,76.93925528,56.67883955
85,2016/3/29,5739.107,5656.65,5758.02,5591.871,19133,21998502200.0,0.03903193586309918,0.07288925424058414,0.08251297145837208,73.78892156,51.9389209
86,2016/3/30,5733.068,5877.44,5888.185,5681.455,19562,22885267240.0,0.00038554200468240095,0.020028617901671417,0.05252218653019,76.53319371,62.12316766
87,2016/3/31,5888.694,5879.706,5938.326,5871.029,17340,20787719720.0,0.00017602920962372175,0.011120794134944949,0.046060976518213635,78.87519565,62.21561212
88,2016/4/1,5865.8409999999985,5880.741,5883.863,5713.641,19443,22947164120.0,0.02701904402863529,0.031476475498580805,0.023154054905665883,80.71993642,62.26293894
89,2016/4/5,5847.682,6039.6330000000025,6081.973000000001,5841.413000000001,19714,23850655840.0,0.0048555930467959075,0.001756066966320597,-0.008341732022459181,82.69993804,68.97456684
90,2016/4/6,6043.935,6068.959,6081.875,6014.493,15277,18742929000.0,-0.012160569876975705,0.00896990735973008,-0.06580865021497087,85.14072076,70.07949009
91,2016/4/7,6086.72,5995.156999999997,6124.163000000001,5980.401999999999,18110,22227122520.0,-0.008350740439324357,0.031855546068268153,-0.05535401324769306,83.57794302,63.66069577
92,2016/4/8,5959.772,5945.093000000003,5961.5859999999975,5870.444,18699,22500336600.0,0.020311372757330925,0.03455589340654538,-0.03645779805294885,80.70806757,59.50158044
93,2016/4/11,5997.516,6065.846,6139.763000000001,5997.516,18922,23383634400.0,-0.002572930470044749,-0.00806845409527362,-0.06155645890119844,81.67486256,65.59994788
94,2016/4/12,6057.863,6050.239000000001,6082.302,5964.3830000000025,19089,23366282040.0,0.012091753730720295,-0.010080097662257802,-0.04729168550201078,82.00576604,64.1943967
95,2016/4/13,6096.661,6123.397,6238.16,6089.598000000001,23494,29419919400.0,0.010245783508728828,-0.07411376397773974,-0.06231573749015454,82.04526732,67.82934316
96,2016/4/14,6160.271,6186.1359999999995,6195.126,6118.401999999999,19038,23733607160.0,-0.0057556122270832006,-0.08451721720957962,-0.07672996519960107,83.6961145,70.69916721
97,2016/4/15,6158.719,6150.531,6173.956,6096.231,19669,24405029320.0,-0.02172609161713021,-0.06864171565024209,-0.06941725844483987,83.78998665,66.8895649
98,2016/4/18,6100.105,6016.904,6100.105,5956.865,16268,19602558240.0,-0.0045957189943534,-0.0539230807072873,-0.00978443398797807,79.46121432,54.49205946
99,2016/4/19,6064.429,5989.2519999999995,6064.429,5947.105,15288,18482177720.0,-0.053376114412951585,-0.03759050378912079,-0.00778360970618693,74.97525777,52.23808991
100,2016/4/20,6018.469,5669.569,6043.361999999999,5606.98,21027,24690130400.0,-0.001105551409639946,0.012742414811425644,0.06020528191825495,64.1320796,33.96554718
101,2016/4/21,5675.065,5663.3009999999995,5791.615,5647.809,17547,20277156480.0,0.011485704185598009,0.008506169811564084,0.01823265265257867,54.93058768,33.70548686
102,2016/4/22,5634.368,5728.348000000001,5728.348000000001,5612.89,16488,18934849840.0,-0.006266029926952802,-0.0008327008065851509,-0.034592346694020865,48.98028076,39.14526074
103,2016/4/25,5692.599,5692.454000000002,5700.709,5565.614000000001,16122,18442460520.0,0.012588419686834471,0.0466543954505383,-0.030670076561005257,43.96018005,37.24789066
104,2016/4/26,5697.637,5764.113,5773.065,5643.218000000003,16372,18950390680.0,-0.003868765237600336,0.03097111385567905,-0.04598695410724938,41.55257689,43.40852332
105,2016/4/27,5767.411,5741.813,5808.4619999999995,5712.784000000002,15348,17907444680.0,-0.0052838711396557035,0.0468656851067771,-0.03761669005939418,38.99361453,41.96613365
106,2016/4/28,5748.474,5711.474,5758.475,5605.177,17368,20004638400.0,0.002119242773406702,0.009644445549432728,-0.03741836170487688,36.10930142,39.93512609
107,2016/4/29,5687.922,5723.578,5763.268,5676.4140000000025,14982,17385777040.0,0.04096283828052991,-0.033787780999927075,-0.021301710223919457,34.27326585,41.21209606
108,2016/5/3,5735.736999999999,5958.031999999997,5961.518,5677.935,18623,22052935600.0,-0.002584410422770343,-0.07387775023699089,-0.06219184455538328,39.31207979,59.8245075
109,2016/5/4,5936.946999999999,5942.634,5987.273,5920.523,14408,17305922160.0,0.011488676570019158,-0.0746461922440452,-0.08439271205327459,44.51642285,58.45705946
110,2016/5/5,5935.109,6010.906999999997,6015.305,5919.472,14893,17944307280.0,-0.04065093670555847,-0.08070030030409711,-0.09631791009243676,51.97538076,62.70887463
111,2016/5/6,5987.831,5766.558000000001,6036.448,5758.453,21150,25142606600.0,-0.040989269508778216,-0.04661324831901468,-0.0468471833631086,50.32292863,44.40857871
112,2016/5/9,5711.34,5530.191,5711.34,5514.318,20359,23021165200.0,-0.002228675284452168,0.012922700138205016,0.013228657021068723,42.44244844,33.70456523
113,2016/5/10,5540.124,5517.866,5575.228,5504.945,16020,17951386680.0,-0.003412007468104393,0.012618102723045468,-0.0023181063113892524,35.77387878,33.23464568
114,2016/5/11,5563.218000000003,5499.0390000000025,5603.397,5479.541,18074,20335777880.0,0.0048710329204792215,-0.010532749449494729,-0.005803377644712188,30.39508618,32.45698614
115,2016/5/12,5453.343000000002,5525.825,5535.32,5364.803000000001,19684,21799998760.0,-0.005078879624309421,-0.016988594463270064,0.0029324128071375106,29.3249505,34.89530309
116,2016/5/13,5494.656999999998,5497.76,5606.528,5465.632,18358,20587853360.0,0.01889787840866093,-0.0002453726608655452,0.0104589869328598,27.73674632,33.47104517
117,2016/5/16,5463.199000000001,5601.656,5609.185,5457.507,19357,21749470280.0,-0.0025287165081183073,0.0003020535355974942,-0.008896654846352622,28.99139052,43.13686691
118,2016/5/17,5592.149,5587.491,5634.765,5529.361999999999,20427,23202930400.0,-0.026196373291697363,-0.014750090872629625,0.05073368350839405,29.68542718,42.19654783
119,2016/5/18,5527.114000000001,5441.1190000000015,5532.555,5377.353,22170,24552137040.0,-0.0016853150978686686,0.004779715348993397,0.07379842271415114,26.63161434,33.66544788
120,2016/5/19,5414.9969999999985,5431.949000000001,5532.267,5414.9969999999985,22900,25444267080.0,0.01186719536578851,0.02026528599587366,0.08018263794450184,23.85921954,33.19247992
121,2016/5/20,5380.105,5496.411,5515.634,5365.105,20547,22725524680.0,0.019455786694263004,0.010706986795565223,0.07898845264664528,23.14849549,39.87290997
