,Unnamed: 0,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,linear_result
0,868,2020/2/3,4775.026,4770.931,4860.5920000000015,4770.931,93722,90347881400.0,0.030196412398334937,0.10242487262968196,0.1646779213532959,60.8626736,23.239781100000002,65.70801
1,869,2020/2/4,4806.565,4914.996,4955.404,4789.863,135128,132000000000.0,0.021003475892961046,0.0690364753094408,0.13352950846755532,53.71059313,32.5691935,49.30591
2,870,2020/2/5,4951.302,5018.228,5089.056,4944.888,139506,141000000000.0,0.03565940009102817,0.07022438996394745,0.10492070109209876,49.89427379,38.58635103,52.321262
3,871,2020/2/6,5033.718,5197.175,5218.672000000001,5000.185,150949,155000000000.0,0.008270647034206156,0.024601249717394358,0.08486860650257097,50.43007656,47.68937263,48.716423
4,872,2020/2/7,5170.746,5240.1590000000015,5241.826,5142.206,137111,143000000000.0,0.003708666092002207,0.020917304226837328,0.094406104852925,51.76919794,49.7039747,48.929955
5,873,2020/2/10,5215.616,5259.593000000002,5363.616999999998,5195.839,119990,126000000000.0,-0.0010044503443518073,0.05646919828207241,0.0948803453042848,53.28870489,50.67028307,48.066692
6,874,2020/2/11,5274.304,5254.31,5293.178000000001,5225.816,111478,118000000000.0,0.022138016219065814,0.06032818771637001,0.10507640394266808,54.44525227,50.37430331,48.786522
7,875,2020/2/12,5244.219,5370.63,5370.858,5240.297000000001,121514,130000000000.0,-0.008490251609215467,0.03241966026332115,0.05528085159469188,57.82457894,56.64700008,49.653458
8,876,2020/2/13,5361.326999999998,5325.031999999998,5384.7069999999985,5307.392,127027,136000000000.0,0.004645418093262349,0.05882030380286923,0.06271154802450045,59.69378229,53.65604259,52.288204
9,877,2020/2/14,5329.6219999999985,5349.769,5397.751,5307.114000000001,128129,138000000000.0,0.03866129546901943,0.07198310805569341,-0.0035870707688499454,61.76514796,55.10283429,52.538467
10,878,2020/2/17,5379.062,5556.598000000001,5560.52,5375.1219999999985,135620,149000000000.0,0.0026446037665491928,0.036358037777791216,-0.0026127497436382718,68.05483761,65.29419073,54.13296
11,879,2020/2/18,5554.5880000000025,5571.293000000002,5598.255,5511.084,145492,162000000000.0,-0.004765321084351511,0.042202232049185,-0.0013977006773833597,72.83587453,65.91265819,58.807446
12,880,2020/2/19,5563.985,5544.744000000002,5598.614000000001,5531.843000000003,125260,140000000000.0,0.016864259197538947,0.0221433126578972,0.009285730774946358,76.25308074,63.6087628,60.81935
13,881,2020/2/20,5560.563,5638.252,5666.257,5515.38,157626,177000000000.0,0.017134743179268982,0.003675075182876071,0.004665453051761485,79.56386699,68.03577957,62.74529
14,882,2020/2/21,5631.988,5734.861999999999,5759.126,5630.094,159652,182000000000.0,0.004143604501730091,-0.07049568062840894,-0.02169799377910044,82.43704141,71.99552781,66.35811
15,883,2020/2/24,5712.658,5758.625,5803.025,5658.526,144417,166000000000.0,0.008298682411165976,-0.03760359460808788,-0.06498513099915351,84.24437865,72.9236916,68.77644
16,884,2020/2/25,5707.948,5806.4140000000025,5820.685,5572.303000000001,203357,233000000000.0,-0.023920271616870672,-0.04183442654967442,-0.04157591931956644,86.48966175,74.81239313,69.81706
17,885,2020/2/26,5750.339,5667.523,5768.4209999999985,5637.3719999999985,204206,234000000000.0,-0.0015085955540011526,-0.012579040261504077,-0.03893958612960207,84.45018791,60.9185571,71.40702
18,886,2020/2/27,5686.004,5658.973000000001,5717.426,5621.67,162802,186000000000.0,-0.05803067093622821,0.0009867514829985796,-0.046902856755104035,82.39803324,60.14499951,69.46184
19,887,2020/2/28,5492.224,5330.5790000000015,5556.061,5315.321999999999,218845,238000000000.0,0.03967692815358318,0.05249861225206474,0.0076483248817810455,69.42652579,38.83612261,67.98001
20,888,2020/3/2,5409.823,5542.08,5600.5880000000025,5409.823,181765,201000000000.0,0.003866057509093964,-0.02845141174432709,-0.08597891044517589,65.48067401,51.32988273,61.948975
21,889,2020/3/3,5643.488,5563.5059999999985,5730.073,5542.573,179794,204000000000.0,0.005882082269705536,0.0002697939033408437,-0.08812195043916532,62.75223595,52.43713681,59.29515
22,890,2020/3/4,5561.2,5596.231,5616.795,5481.569,157430,176000000000.0,0.012209288715923274,-0.026696360461174736,-0.11134082921166047,61.55779479,54.22646691,56.503723
23,891,2020/3/5,5676.205,5664.557,5701.554,5593.212,166969,190000000000.0,-0.009555910550463191,-0.047842399679268885,-0.11003790764220396,62.81579091,57.94285553,55.083652
24,892,2020/3/6,5622.418000000002,5610.427,5655.794,5591.738,140347,159000000000.0,-0.040286951420988114,-0.0426131558257508,-0.0923635580678618,62.07893557,54.032919299999996,55.40721
25,893,2020/3/9,5515.134,5384.4,5530.049,5357.469,175064,191000000000.0,0.033542641705668216,-0.0592121684867395,-0.09307852314092556,54.01061072,41.02760727,54.634018
26,894,2020/3/10,5433.826999999998,5565.007,5575.849,5330.55,213847,235000000000.0,-0.02123537310914437,-0.08836790322096615,-0.10997290749140104,53.24335225,51.51756118,51.050415
27,895,2020/3/11,5574.597,5446.8319999999985,5582.851,5446.523,158059,176000000000.0,-0.00978201640880423,-0.08696614839598497,-0.07003116674059333,48.70660664,45.55291658,50.34051
28,896,2020/3/12,5383.153,5393.551,5415.889,5299.664000000002,169518,183000000000.0,-0.004116397527343178,-0.06532060232674161,-0.07196483355770619,43.92699346,43.02617248,46.611332
29,897,2020/3/13,5125.57,5371.349,5417.823,5104.15,223362,237000000000.0,-0.056926295424110526,-0.05196478575493793,-0.07393096222196703,43.72062741,41.93573295,44.258587
30,898,2020/3/16,5348.751,5065.578,5363.755,5051.617,190416,200000000000.0,0.0015123644330421856,-0.03599786638365838,-0.033013211917771235,36.77681627,30.11179359,41.750126
31,899,2020/3/17,5180.4,5073.239000000001,5206.382000000001,4968.002,212147,217000000000.0,-0.019730393147257733,-0.023699258008542463,-0.037344978227913175,32.9489041,30.66283652,36.630013
32,900,2020/3/18,5100.974,4973.142,5220.76,4963.863,218015,225000000000.0,0.013693355226937048,0.018548032611978543,-0.01926769836855652,27.659257699999998,27.47821077,35.362785
33,901,2020/3/19,5001.915,5041.241,5072.733,4894.349,238473,240000000000.0,0.010113977887587616,-0.007108567116708017,0.002352000231688977,26.08231605,32.81853656,31.490587
34,902,2020/3/20,5098.157,5092.228,5108.919,4999.593,191920,196000000000.0,-0.041042938375893616,-0.023170211545908842,-0.02088378603628908,25.82094586,36.7421388,31.325836
35,903,2020/3/23,4924.282,4883.228,4995.6309999999985,4851.635,164921,164000000000.0,0.014289523241593563,0.0030961077385695873,0.05144015393096542,22.17223833,28.94622808,30.919744
36,904,2020/3/24,4984.862,4953.007000000001,5011.625,4858.551,185248,185000000000.0,0.02268864146567923,-0.013976963892843287,0.03920991833849607,20.78744564,34.19091131,27.003338
37,905,2020/3/25,5051.169,5065.384,5100.84,5021.183,152591,156000000000.0,-0.011840958158354878,-0.03712709638597984,0.023863146407064145,22.19486997,41.953607299999994,28.99532
38,906,2020/3/26,5029.017,5005.405,5074.016,4996.372,133473,136000000000.0,-0.006226269402775593,0.009528299907799713,0.02105523928633154,22.00061728,39.17868502,29.563261
39,907,2020/3/27,5065.039000000002,4974.24,5091.069,4974.24,158456,161000000000.0,-0.015257205120782274,0.002340659075557277,0.016285100839525297,21.94292575,37.72028375,28.966543
40,908,2020/3/30,4931.906,4898.347,4952.349,4834.73,152257,150000000000.0,-0.002974064516049864,0.04819482980687174,0.05559569381262704,20.1041492,34.22955993,29.119778
41,909,2020/3/31,4944.981,4883.779,4962.898,4873.547000000001,133185,132000000000.0,-0.0013223366577399464,0.05394081099902339,0.05496051315999352,18.29872175,33.55890484,27.678272
42,910,2020/4/1,4883.8690000000015,4877.321,4985.89,4863.460999999998,150892,150000000000.0,0.03603966193736277,0.06334194530152933,0.06578529483706316,17.08778151,33.23416693,27.298712
43,911,2020/4/2,4872.125,5053.098,5056.374,4872.125,161194,161000000000.0,-0.013301740833049379,0.011418143879259835,0.028765719564512838,23.667755300000003,48.49535489,26.501081
44,912,2020/4/3,5026.837,4985.883,5036.741,4955.71,130612,132000000000.0,0.029791914491375082,0.013911878798600024,0.04750632937034439,28.9110132,44.15367684,29.275055
45,913,2020/4/7,5082.589,5134.422000000001,5160.278,5082.185,129912,134000000000.0,0.0024914196768398584,0.007060580528830606,0.0066539135271699214,39.43546094,54.32088981,31.09783
46,914,2020/4/8,5110.007000000001,5147.214,5170.319,5108.757000000001,112051,116000000000.0,0.007585851297420367,0.0009675136879874186,0.0161069658265617,48.38206581,55.11262872,37.160736
47,915,2020/4/9,5174.252,5186.26,5210.382000000001,5165.839,117004,122000000000.0,-0.01455094808204759,0.0022978022698436754,0.00124309232471957,55.91482672,57.63419535,42.645836
48,916,2020/4/10,5185.577,5110.795,5188.4540000000015,5081.087,136113,141000000000.0,-0.010868954829923715,0.017151734710549055,0.00411755900989961,58.84394885,51.36083933,48.41701
49,917,2020/4/13,5073.695,5055.246,5093.866,5035.266,113651,116000000000.0,0.022833310189059024,0.03313350131724559,0.01312359477659442,58.82032456,47.114116499999994,51.06275
50,918,2020/4/14,5089.363,5170.674,5178.542,5086.566,131356,136000000000.0,-0.0035740021513635477,-0.0004038158274918604,-0.017307995050548475,63.92186687,55.68060912,51.606697
51,919,2020/4/15,5172.583,5152.194,5201.623,5150.372,120043,125000000000.0,0.008924935668183158,0.015124818669483227,-0.008972294133334238,67.35324434,54.10219314,54.29304
52,920,2020/4/16,5130.515,5198.177,5220.099,5125.743,160837,168000000000.0,5.3287912281739e-05,-0.0010522919862096546,0.010279757691975592,71.76989542,57.47657039,56.22159
53,921,2020/4/17,5243.0059999999985,5198.4540000000015,5272.566,5182.028,159022,168000000000.0,0.0046725430291390405,-0.012814386738826714,0.02444399815791368,73.45563907,57.49774665,59.06539
54,922,2020/4/20,5193.0909999999985,5222.7440000000015,5231.585,5181.129,96999,102000000000.0,-0.010369644769110118,-0.019368171214212426,0.016752113448409354,75.80606874,59.48798238,61.14729
55,923,2020/4/21,5201.959,5168.585999999998,5203.731,5097.337,127185,132000000000.0,0.011905383793556028,-0.016911008155808774,0.04182246362931767,74.36902914,53.23512594,62.326454
