date,open,high,low,close,volume,amount
2012-01-04,53.0000,53.4800,50.3800,51.0000,2972633,152990607.7800
2012-01-05,50.7000,50.7000,48.8800,49.7800,4549032,225327874.2000
2012-01-06,49.6000,51.0000,49.2000,50.9600,1394506,70320246.0100
2012-01-09,51.1200,51.1200,49.3500,50.9400,3951714,197421148.0100
2012-01-10,50.5000,52.6600,50.0500,52.1800,3697426,190805279.9000
2012-01-11,52.1800,52.2500,51.0100,51.2600,1991160,102859490.1900
2012-01-12,51.2800,52.3000,51.2800,51.8700,1208474,62772754.9600
2012-01-13,51.8700,52.3000,50.5000,50.5900,1524130,78559529.9700
2012-01-16,50.1500,50.7100,48.1900,48.1900,1238023,61236802.9500
2012-01-17,48.5700,50.8500,48.0300,50.3000,1524125,75510481.0800
2012-01-18,50.3000,50.7900,46.1000,46.8000,5420544,255453943.8900
2012-01-19,46.6000,47.5000,45.5800,47.0300,4329510,202794011.1900
2012-01-20,47.0000,49.5000,47.0000,49.5000,2950231,143039394.1400
2012-01-30,49.2000,49.8000,48.3000,49.0100,1358994,66723707.9800
2012-01-31,49.0000,49.2000,47.6000,48.8800,1108489,53525504.2500
2012-02-01,48.8000,49.6500,48.8000,48.9800,1724915,84875088.6700
2012-02-02,49.2000,50.3000,49.0600,50.0400,1359959,67657350.3800
2012-02-03,50.1000,50.8000,49.8000,50.3500,1537646,77003293.0600
2012-02-06,50.4000,52.0100,50.0800,50.9200,2851406,146189660.1700
2012-02-07,50.5200,51.5500,50.5200,51.3900,1707711,87263143.0100
2012-02-08,51.3900,52.2700,50.5200,52.2000,1549706,79655692.7300
2012-02-09,52.2100,52.2100,51.5000,52.0000,1162480,60329891.6100
2012-02-10,51.8300,52.3000,51.2000,52.3000,1084020,56042689.4000
2012-02-13,51.5800,52.9400,51.3700,52.4000,1298365,67980374.4800
2012-02-14,52.3000,52.5000,51.5000,51.9700,1001485,52255939.8100
2012-02-15,51.6500,52.5800,51.5000,52.0000,723347,37661412.6500
2012-02-16,51.8000,52.4200,51.4000,51.4300,1439694,74926230.9000
2012-02-17,51.4800,52.2500,50.8700,51.3800,1440647,74462528.6200
2012-02-20,51.8600,51.9700,49.7600,50.0000,7740647,387930388.9400
2012-02-21,49.7000,50.2600,49.7000,50.2000,1754644,87805443.7600
2012-02-22,50.2000,50.4100,49.8300,50.4100,2851454,142980628.6500
2012-02-23,50.5200,51.2200,50.5200,51.0600,3267758,166459500.0900
2012-02-24,51.1200,52.2700,51.0600,52.1200,3167742,163187189.0000
2012-02-27,52.1700,53.4500,51.7000,52.5900,2573490,135224136.9900
2012-02-28,52.4100,52.7800,51.6400,52.0000,2175804,113562084.1900
2012-02-29,51.8200,52.6600,51.8000,52.0800,1622814,84769019.2200
2012-03-01,52.0000,52.0900,50.9500,51.1100,2105415,108020348.9600
2012-03-02,51.0000,51.4800,50.9900,51.4700,3297801,168598494.4600
2012-03-05,51.5700,51.6700,50.0000,50.2800,5212128,263035277.4600
2012-03-06,50.2100,50.7000,50.1000,50.4500,3014207,151933190.0600
2012-03-07,50.0800,50.8100,50.0700,50.5300,1701594,86217338.5800
2012-03-08,50.6000,50.8000,50.1600,50.4500,2794286,140731480.7300
2012-03-09,50.7000,51.1200,50.4100,51.1000,2136311,108394152.4500
2012-03-12,51.3900,52.2800,51.1500,52.0900,3760399,195187101.0500
2012-03-13,52.1200,52.2000,51.5100,51.9500,1936695,100236455.3400
2012-03-14,52.0500,53.2100,50.9000,51.2200,4037043,211331613.1600
2012-03-15,51.2200,53.0000,51.1100,52.8500,4471362,234048971.1500
2012-03-16,52.8500,55.0600,52.5500,54.6000,4477183,240675240.8300
2012-03-19,54.6100,55.0000,53.3100,53.9800,3902475,210546984.8000
2012-03-20,53.5000,53.7000,52.2000,52.3300,3966639,208473136.2800
2012-03-21,52.3300,52.4000,50.8000,51.3000,4130993,213125751.7700
2012-03-22,51.6200,52.0500,50.7800,51.1000,2900173,148843203.2100
2012-03-23,51.1000,51.2300,50.3700,51.0000,2679746,135971727.3400
2012-03-26,50.6500,52.0000,50.6500,51.3000,2014237,102952569.3000
2012-03-27,51.2500,51.4000,50.5900,50.6100,2035203,103790563.4700
2012-03-28,50.4000,50.4800,49.0100,49.0700,2830854,140913675.7200
2012-03-29,48.9000,49.3700,48.6100,48.6200,1761358,86157342.2800
2012-03-30,48.6400,49.4500,48.2900,49.2200,2173582,106153651.9400
2012-04-05,49.2000,50.2600,49.1600,49.8200,1657557,82231489.7400
2012-04-06,49.8100,50.1300,49.5300,49.8000,1161393,57793301.1100
2012-04-09,49.6800,49.6800,48.9500,49.0000,1250425,61461372.2100
2012-04-10,48.8400,49.3800,48.1000,48.9900,1395959,67885146.5700
2012-04-11,48.8800,49.5000,48.6100,48.7500,1801659,88368762.0700
2012-04-12,48.9000,49.6000,48.6200,49.5500,1846626,90704984.6300
2012-04-13,49.7200,49.8000,49.3000,49.4500,2258601,111838047.9300
2012-04-16,49.4000,49.6800,48.5800,48.8900,2085416,102117557.0200
2012-04-17,48.8700,49.3500,48.5900,49.0500,1531536,75037980.8000
2012-04-18,49.1300,49.2900,47.7000,48.7000,4951639,239993865.7700
2012-04-19,48.7000,49.0400,48.3800,48.8000,2226995,108487095.6200
2012-04-20,48.8400,49.2000,48.6500,49.1300,2062082,100996387.5900
2012-04-23,49.1900,50.2000,48.9100,49.5100,3344536,165870706.6300
2012-04-24,49.5100,49.5100,49.5100,49.5100,0,0.0000
2012-04-25,49.5100,50.3800,49.2200,50.1900,4498370,225275118.5900
2012-04-26,50.2000,50.6800,50.2000,50.6100,3502513,176986991.3300
2012-04-27,50.6100,50.6800,49.8800,50.4400,1734947,87297643.7500
2012-05-02,50.9300,51.2600,50.5000,50.9900,2145673,109410673.2300
2012-05-03,51.1300,52.3200,51.0200,52.1100,3627863,188757352.4800
2012-05-04,52.1500,52.4900,51.7800,52.2700,3223025,167727726.6100
2012-05-07,52.2500,53.2400,52.0000,52.6400,4680540,247453209.0400
2012-05-08,52.6000,52.8600,51.9600,52.4800,2302830,120463098.6800
2012-05-09,52.1300,52.1300,50.9500,50.9900,2632579,135072785.6600
2012-05-10,50.9500,53.4000,50.9500,53.1800,5539507,292585181.1600
2012-05-11,53.1500,53.7300,52.5800,53.3800,3475565,184868691.1000
2012-05-14,53.5000,54.1800,52.6000,53.0800,2247977,120159809.0400
2012-05-15,52.9000,52.9000,52.0000,52.2300,2394709,125321973.0300
2012-05-16,52.0000,52.2500,51.2500,51.3500,3063739,159083141.9200
2012-05-17,51.1100,52.1000,51.1100,51.4300,1815043,93830301.4600
2012-05-18,51.3000,52.0900,51.1200,51.3100,1341618,69207393.1300
2012-05-21,51.3300,52.0900,51.3300,52.0000,1311673,68164110.0900
2012-05-22,52.8000,52.9700,52.0300,52.5800,1650475,86840527.6400
2012-05-23,52.4800,52.5000,51.8100,51.9900,1772333,92309286.1600
2012-05-24,52.0500,52.4500,51.5500,51.7300,1083412,56270956.3400
2012-05-25,51.6100,52.0100,51.3000,51.3500,943618,48789608.6100
2012-05-28,51.1200,51.9600,51.0500,51.7800,1627325,83997249.8500
2012-05-29,51.7900,51.9800,51.3800,51.6500,2080245,107417428.0600
